########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170607_C400_00.ret
##  Data 07/06/2017

00000 ## COMPENSADO ## TITULO Nº 2057 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 299 -  - 
00000 ## COMPENSADO ## TITULO Nº 2237 -  - 
00000 ## COMPENSADO ## TITULO Nº 2273 -  - 
00000 ## COMPENSADO ## TITULO Nº 444 -  - 
00000 ## COMPENSADO ## TITULO Nº 746 -  - 
00000 ## COMPENSADO ## TITULO Nº 1142 -  - 
00000 ## COMPENSADO ## TITULO Nº 191 -  - 
00000 ## COMPENSADO ## TITULO Nº 143 -  - 
00000 ## COMPENSADO ## TITULO Nº 2249 -  - 
00000 ## COMPENSADO ## TITULO Nº 1730 -  | PARCELA POSSUI PROCEDIMENTO. - 
00000 ## COMPENSADO ## TITULO Nº 372 -  - 
00000 ## COMPENSADO ## TITULO Nº 866 -  - 
00000 ## COMPENSADO ## TITULO Nº 2361 -  | PARCELA POSSUI PROCEDIMENTO. - 
