########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170504_C400_00.ret
##  Data 08/05/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000177
00000 ## COMPENSADO ## TITULO Nº 177 -  - 
00001 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000142
00001 ## COMPENSADO ## TITULO Nº 142 -  - 
00002 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002140
00002 ## COMPENSADO ## TITULO Nº 2140 -  - 
00003 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001852
00003 ## COMPENSADO ## TITULO Nº 1852 -  - 
00004 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000793
00004 ## COMPENSADO ## TITULO Nº 793 -  - 
00005 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000371
00005 ## COMPENSADO ## TITULO Nº 371 -  - 
00006 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000190
00006 ## COMPENSADO ## TITULO Nº 190 -  - 
00007 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000745
00007 ## COMPENSADO ## TITULO Nº 745 -  - 
00008 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002236
00008 ## COMPENSADO ## TITULO Nº 2236 -  - 
00009 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001201
00009 ## COMPENSADO ## TITULO Nº 1201 -  - 
