########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO 3094_00327964_20170508_C400_00(1).ret
##  Data 08/05/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002056
00000 ## COMPENSADO ## TITULO Nº 2056 -  - 
00001 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001729
00001 ## COMPENSADO ## TITULO Nº 1729 -  - 
00002 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001537
00002 ## COMPENSADO ## TITULO Nº 1537 -  - 
00003 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000002128
00003 ## COMPENSADO ## TITULO Nº 2128 -  - 
00004 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000649
00004 ## COMPENSADO ## TITULO Nº 649 -  - 
00005 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000000625
00005 ## COMPENSADO ## TITULO Nº 625 -  - 
00006 ## TITULO JÁ PROCESSADO ## TITULO Nº 00000001912
00006 ## COMPENSADO ## TITULO Nº 1912 -  - 
