########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_030417P_MOV.TXT
##  Data 10/04/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054303
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055645
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055753
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056385
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056963
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057022
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058097
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058364
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059389
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061452
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061774
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061846
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065827
