########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_060317P_MOV.TXT
##  Data 10/04/2017

00000 ## NÃO ENCONTRADO EM FATURAMENTO ## TITULO Nº 00000051509
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00051533
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052159
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052369
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052393
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053733
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053857
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054538
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054812
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054864
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055668
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056841
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056890
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056926
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057375
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057435
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057446
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057819
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058348
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058385
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058531
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058939
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059256
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059388
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00059917
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060210
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061248
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061392
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061537
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061891
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061892
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061989
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062985
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064599
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064929
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065459
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065494
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065603
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065687
