########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_030217P_MOV.TXT
##  Data 10/04/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00051267
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00051628
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052097
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052098
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052158
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052368
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052392
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053767
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054537
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055054
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056031
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056032
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056564
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056623
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056673
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056876
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057410
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057614
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057758
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058938
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060209
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060803
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061988
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062182
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062949
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064082
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064575
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065458
