########################################### ARQUIVO DE LOG DE TRATAMENTO DO RETORNO ###########################################
##  ARQUIVO COBST_IJPJ_02_150217P_MOV.TXT
##  Data 10/04/2017

00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00050381
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00050889
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00051713
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00052235
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053633
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00053719
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00054231
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055123
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00055458
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00056745
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00057290
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00058746
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00060492
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00061069
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062134
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062195
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062303
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00062519
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063082
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00063422
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064455
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064624
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064706
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064707
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064708
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00064868
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065531
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065554
00000 ## TITULO JÁ PROCESSADO ## TITULO Nº 00065778
